Movie_Name,Genres,Cast,Original_Language,Vote_Average,Budget_USD
Nosferatu,"['Fantasy', 'Horror', 'Mystery']","['Lily-Rose Depp', 'Nicholas Hoult', 'Bill Skarsgård', 'Aaron Taylor-Johnson', 'Willem Dafoe', 'Emma Corrin', 'Ralph Ineson', 'Simon McBurney', 'Adéla Hesová', 'Milena Konstantinova', 'Stacy Thunes', 'Gregory Gudgeon', 'Robert Russell', 'Curtis Matthew', 'Claudiu Trandafir', 'Georgina Bereghianu', 'Jordan Haj', 'Katerina Bila']","['English', 'German', 'Romanian', 'Russian']",7.3,$50.0M
Emilia Pérez,"['Comedy', 'Crime', 'Drama', 'Musical', 'Thriller']","['Zoe Saldaña', 'Karla Sofía Gascón', 'Selena Gomez', 'Adriana Paz', 'Edgar Ramírez', 'Mark Ivanir', 'Eduardo Aladro', 'Emiliano Hasan', 'Gaël Murguia-Fur', 'Tirso Pietriga', 'Xiomara Melissa Ahumada Quito', 'Magali Brito', 'Jarib dit Javier Zagoya Montiel', 'Sébastien Fruit', 'Alejandra Reyes', 'Anabel Lopez', 'Daniel Velasco-Acosta', 'James Gerard']","['Spanish', 'English']",5.5,$27.3M
The Brutalist,['Drama'],"['Adrien Brody', 'Felicity Jones', 'Guy Pearce', 'Joe Alwyn', 'Raffey Cassidy', 'Stacy Martin', 'Isaach De Bankolé', 'Alessandro Nivola', 'Ariane Labed', 'Michael Epp', 'Emma Laird', 'Jonathan Hyde', 'Peter Polycarpou', 'Maria Sand', 'Salvatore Sansone', 'Zephan Hanson Amissah', 'Charlie Esoko', 'Levente Orbán']","['English', 'Hungarian', 'Italian', 'Hebrew', 'Yiddish']",7.9,$10.0M
Saturday Night,"['Biography', 'Comedy', 'Drama', 'History']","['Gabriel LaBelle', 'Rachel Sennott', 'Cory Michael Smith', 'Ella Hunt', ""Dylan O'Brien"", 'Emily Fairn', 'Matt Wood', 'Lamorne Morris', 'Kim Matula', 'Finn Wolfhard', 'Colby James West', 'Nicholas Braun', 'Ellen Boscov', 'Stephen Badalamenti', 'Cooper Hoffman', 'Peter E Dawson', 'Andrew Barth Feldman', 'John Dinello']",['English'],7.0,$25.0M
The Substance,"['Drama', 'Horror', 'Sci-Fi']","['Demi Moore', 'Margaret Qualley', 'Dennis Quaid', 'Edward Hamilton-Clark', 'Gore Abrams', 'Oscar Lesage', 'Christian Erickson', 'Robin Greer', 'Tom Morton', 'Hugo Diego Garcia', 'Daniel Knight', 'Jonathon Carley', 'Jiselle Henderkott', 'Akil Wingate', 'Billy Bentley', 'Vincent Colombe', 'Lennard Ridsdale', 'Jordan Ford Silver']",['English'],7.3,$17.5M
Landman,['Drama'],"['Billy Bob Thornton', 'Ali Larter', 'Jacob Lofland', 'Michelle Randolph', 'Paulina Chávez', 'Kayla Wallace', 'Mark Collie', 'James Jordan', 'Demi Moore', 'Jon Hamm', 'Colm Feore', 'Mustafa Speaks', 'Mitchell Slaggert', 'Alex Meraz', 'J.R. Villarreal', 'Octavio Rodriguez', 'Ben Browder', 'Robyn Lively']","['English', 'Spanish']",8.2,$0
Gladiator II,"['Action', 'Adventure', 'Drama']","['Paul Mescal', 'Denzel Washington', 'Pedro Pascal', 'Connie Nielsen', 'Joseph Quinn', 'Fred Hechinger', 'Lior Raz', 'Derek Jacobi', 'Peter Mensah', 'Matt Lucas', 'Alexander Karim', 'Yuval Gonen', 'Richard McCabe', 'Tim McInnerny', 'Alec Utgoff', 'Rory McCann', 'Yann Gael', 'Riana Duce']","['English', 'Latin']",6.6,$250.0M
Babygirl,"['Drama', 'Romance', 'Thriller']","['Nicole Kidman', 'Harris Dickinson', 'Antonio Banderas', 'Sophie Wilde', 'Esther McGregor', 'Vaughan Reilly', 'Victor Slezak', 'Leslie Silva', 'Gaite Jansen', 'Robert Farrior', 'Bartley Booz', 'Anoop Desai', 'Mary Ann Lamb', 'Gabrielle Policano', 'Gabriela Torres', 'Izabel Mar', ""Max O'Herlihy"", 'Michael Kirchmann']",['English'],6.0,$0
High Potential,"['Crime', 'Drama', 'Mystery']","['Kaitlin Olson', 'Daniel Sunjata', 'Javicia Leslie', 'Deniz Akdeniz', 'Amirah J', 'Matthew Lamb', 'Judy Reyes', 'Taran Killam', 'JD Pardo', 'Garret Dillahunt', 'TJ Lee', 'Hudson Macready', 'Anthony Darrell', 'Domenick Lombardozzi', 'Jocko Sims', 'Ariella Amar', 'Derek Richardson', 'Nasim Pedrad']",['English'],7.6,$0
Anora,"['Comedy', 'Drama', 'Romance']","['Mikey Madison', 'Paul Weissman', 'Yura Borisov', 'Lindsey Normington', 'Emily Weider', 'Luna Sofía Miranda', 'Vincent Radwinsky', 'Brittney Rodriguez', 'Sophia Carnabuci', 'Mark Eydelshteyn', 'Anton Bitter', 'Ella Rubin', 'Ross Brodar', 'Zoë Vnak', 'Vlad Mamai', 'Maria Tichinskaya', 'Ivy Wolk', 'Karren Karagulian']","['English', 'Russian', 'Armenian']",7.7,$6.0M
